Dandres,Proyecto,Universidad,CA1,4,23/5/21
Dandres,Resumen,Universidad,CA2,-8,23/5/21
Elias,Arboles,Universidad,CA1,1,23/6/21
Dandres,TAREA 1,MUSCICA,A,4,1/2/13
Dandres,PERCEPCIÓN DE LOS ESTUDIANTES DE BACHILLERATO DE UNA INSTITUCIÓN PRIVADA MIXTA SOBRE EL CAMBIO DE MODALIDAD PRESENCIAL A MODALIDAD A DISTANCIA DURANTE LA PANDEMIA PROVOCADA POR EL VIRUS COVID-19.,MUSCICA,longaniza,4,5472875
Dandres,forfeit,sssss,2,-2,5
Dandres,COVID-19.",MUSCICA,longaniza,3,5472875
Dandres,forfut,Memo,0,1,1/2/13
Dandres,forfet,Memo,longaniza,5,5472875
Dandres,forfeits,sssss,longaniza,1,5
Dandres,forfeitt,Memo,longaniza,2,5472875
Dandres,512,sssss,longaniza,12,1/2/13
Dandres,XDXDXDDXD,sssss,longaniza,4,5472875
juanito,Resumem,MUSCICA,A,2,5472875
